"i0","simulated_y","y","actual_response","cutoff","beta0","beta1","beta2","delta","modified_covariate","x2","eta","probability","residual","score_intercept","score_x1","score_x2","design_norm","score_norm","tukey_argument","robust_weight"
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.8,-39.9189925918435,0.042010562831985,-40.4399978732595,2.73610068904127e-18,-2.73610068904127e-18,-2.73610068904127e-18,1.09222383136376e-16,-1.14945129911606e-19,39.9315380925284,1.09256708889445e-16,1.09256708889445e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.79,-39.9089925918435,0.042010562831985,-40.4299978732595,2.76359895812524e-18,-2.76359895812524e-18,-2.76359895812524e-18,1.10292450346646e-16,-1.16100347672728e-19,39.9215412350677,1.10327129763987e-16,1.10327129763987e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.78,-39.8989925918435,0.042010562831985,-40.4199978732595,2.79137358940802e-18,-2.79137358940802e-18,-2.79137358940802e-18,1.11372994164858e-16,-1.17267175565369e-19,39.9115443791815,1.11408030892533e-16,1.11408030892533e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.77,-39.8889925918435,0.042010562831985,-40.4099978732595,2.8194273603759e-18,-2.8194273603759e-18,-2.8194273603759e-18,1.12464117091275e-16,-1.18445730273289e-19,39.901547524871,1.12499514812961e-16,1.12499514812961e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.76,-39.8789925918435,0.042010562831985,-40.3999978732595,2.84776307642937e-18,-2.84776307642937e-18,-2.84776307642937e-18,1.13565922628252e-16,-1.19636129652943e-19,39.8915506721373,1.13601685065624e-16,1.13601685065624e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.75,-39.8689925918435,0.042010562831985,-40.3899978732595,2.8763835711636e-18,-2.8763835711636e-18,-2.8763835711636e-18,1.14678515290022e-16,-1.20838492745258e-19,39.8815538209817,1.14714646203149e-16,1.14714646203149e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.74,-39.8589925918435,0.042010562831985,-40.3799978732595,2.90529170665195e-18,-2.90529170665195e-18,-2.90529170665195e-18,1.15802000612584e-16,-1.22052939787547e-19,39.8715569714054,1.15838503800325e-16,1.15838503800325e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.73,-39.8489925918435,0.042010562831985,-40.3699978732595,2.93449037373206e-18,-2.93449037373206e-18,-2.93449037373206e-18,1.16936485163685e-16,-1.23279592225526e-19,39.8615601234095,1.16973364464087e-16,1.16973364464087e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.72,-39.8389925918435,0.042010562831985,-40.3599978732595,2.96398249229495e-18,-2.96398249229495e-18,-2.96398249229495e-18,1.18082076552892e-16,-1.2451857272546e-19,39.8515632769952,1.18119335843598e-16,1.18119335843598e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.71,-39.8289925918435,0.042010562831985,-40.3499978732595,2.99377101157705e-18,-2.99377101157705e-18,-2.99377101157705e-18,1.19238883441778e-16,-1.25770005186433e-19,39.8415664321637,1.19276526640433e-16,1.19276526640433e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.7,-39.8189925918435,0.042010562831985,-40.3399978732595,3.02385891045513e-18,-3.02385891045513e-18,-3.02385891045513e-18,1.20407015554193e-16,-1.27034014752733e-19,39.8315695889163,1.20445046618858e-16,1.20445046618858e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.69,-39.8089925918435,0.042010562831985,-40.3299978732595,3.05424919774417e-18,-3.05424919774417e-18,-3.05424919774417e-18,1.21586583686642e-16,-1.28310727826371e-19,39.821572747254,1.21625006616212e-16,1.21625006616212e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.68,-39.7989925918435,0.042010562831985,-40.3199978732595,3.08494491249818e-18,-3.08494491249818e-18,-3.08494491249818e-18,1.22777699718761e-16,-1.29600272079717e-19,39.8115759071781,1.22816518553384e-16,1.22816518553384e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.67,-39.7889925918435,0.042010562831985,-40.3099978732595,3.11594912431424e-18,-3.11594912431424e-18,-3.11594912431424e-18,1.23980476623901e-16,-1.30902776468272e-19,39.8015790686898,1.24019695445408e-16,1.24019695445408e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.66,-39.7789925918435,0.042010562831985,-40.2999978732595,3.14726493363938e-18,-3.14726493363938e-18,-3.14726493363938e-18,1.2519502847981e-16,-1.3221837124356e-19,39.7915822317903,1.25234651412141e-16,1.25234651412141e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.65,-39.7689925918435,0.042010562831985,-40.2899978732595,3.17889547208059e-18,-3.17889547208059e-18,-3.17889547208059e-18,1.26421470479418e-16,-1.33547187966154e-19,39.7815853964808,1.2646150168906e-16,1.2646150168906e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.64,-39.7589925918435,0.042010562831985,-40.2799978732595,3.2108439027181e-18,-3.2108439027181e-18,-3.2108439027181e-18,1.27659918941735e-16,-1.34889359518835e-19,39.7715885627625,1.27700362638159e-16,1.27700362638159e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.63,-39.7489925918435,0.042010562831985,-40.2699978732595,3.24311342042159e-18,-3.24311342042159e-18,-3.24311342042159e-18,1.28910491322846e-16,-1.36245020119875e-19,39.7615917306365,1.28951351758951e-16,1.28951351758951e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.62,-39.7389925918435,0.042010562831985,-40.2599978732595,3.27570725216976e-18,-3.27570725216976e-18,-3.27570725216976e-18,1.30173306227022e-16,-1.37614305336466e-19,39.7515949001041,1.30214587699585e-16,1.30214587699585e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.61,-39.7289925918435,0.042010562831985,-40.2499978732595,3.30862865737288e-18,-3.30862865737288e-18,-3.30862865737288e-18,1.31448483417928e-16,-1.38997352098269e-19,39.7415980711665,1.31490190268056e-16,1.31490190268056e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.6,-39.7189925918435,0.042010562831985,-40.2399978732595,3.34188092819893e-18,-3.34188092819893e-18,-3.34188092819893e-18,1.32736143829957e-16,-1.40394298711114e-19,39.7316012438249,1.32778280443543e-16,1.32778280443543e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.59,-39.7089925918435,0.042010562831985,-40.2299978732595,3.37546738990272e-18,-3.37546738990272e-18,-3.37546738990272e-18,1.34036409579656e-16,-1.41805284870825e-19,39.7216044180805,1.34078980387847e-16,1.34078980387847e-16,1
